Sun Jan 06 22:12:07 CST 20190, 837208, , 布艺类产品, 271, 300.0000, 沙发靠背, 3   , 小型企业, , , 1
Sun Jan 06 22:12:07 CST 20191, 837208, , 布艺类产品, 271, 300.0000, 抱枕, 3   , 小型企业, , , 1
Sun Jan 06 22:12:07 CST 20192, 841096, , 布艺类产品, 271, 10.0000, 门帘, 3   , 小型企业, , , 1
Sun Jan 06 22:12:07 CST 20193, 841096, , 布艺类产品, 271, 10.0000, 靠垫, 3   , 小型企业, , , 1
Sun Jan 06 22:12:07 CST 20194, 1022651, , 布艺类产品, 271, 50.0000, 台布, 3   , 小型企业, , , 1
Sun Jan 06 22:12:07 CST 20195, 177837327, , 墙砖、地砖、支承或充填用砖、屋顶瓦、烟囱罩、通风帽、烟囱衬壁等非耐火的建筑用陶瓷砖；建筑装饰品和其他建筑用陶瓷制品, 3735, 5000.0000, 内墙砖, , , 5000.0000, 60, 1
Sun Jan 06 22:12:07 CST 20196, 661950, 鲁XK16-114-00510, 餐具、食品器具和设备用洗涤剂、消毒剂, 35322.016, 25.0000, 碱性清洗剂(NF-20), 3   , 小型企业, 25.0000, 16, 1
Sun Jan 06 22:12:07 CST 20197, 780254, 鲁XK16-114-00515, 餐具、食品器具和设备用洗涤剂、消毒剂, 35322.016, 213.0000, 餐具洗涤剂（洁能柠檬洗洁精）, 3   , 小型企业, 1500.0000, 60, 1
Sun Jan 06 22:12:07 CST 20198, 1130969, , , , , , , , , , 
Sun Jan 06 22:14:27 CST 20190, 837208, , 布艺类产品, 271, 300.0000, 沙发靠背, 3   , 小型企业, , , 1
Sun Jan 06 22:14:27 CST 20191, 837208, , 布艺类产品, 271, 300.0000, 抱枕, 3   , 小型企业, , , 1
Sun Jan 06 22:14:27 CST 20192, 841096, , 布艺类产品, 271, 10.0000, 门帘, 3   , 小型企业, , , 1
Sun Jan 06 22:14:27 CST 20193, 841096, , 布艺类产品, 271, 10.0000, 靠垫, 3   , 小型企业, , , 1
Sun Jan 06 22:14:27 CST 20194, 1022651, , 布艺类产品, 271, 50.0000, 台布, 3   , 小型企业, , , 1
Sun Jan 06 22:14:27 CST 20195, 177837327, , 墙砖、地砖、支承或充填用砖、屋顶瓦、烟囱罩、通风帽、烟囱衬壁等非耐火的建筑用陶瓷砖；建筑装饰品和其他建筑用陶瓷制品, 3735, 5000.0000, 内墙砖, , , 5000.0000, 60, 1
Sun Jan 06 22:14:27 CST 20196, 661950, 鲁XK16-114-00510, 餐具、食品器具和设备用洗涤剂、消毒剂, 35322.016, 25.0000, 碱性清洗剂(NF-20), 3   , 小型企业, 25.0000, 16, 1
Sun Jan 06 22:14:27 CST 20197, 780254, 鲁XK16-114-00515, 餐具、食品器具和设备用洗涤剂、消毒剂, 35322.016, 213.0000, 餐具洗涤剂（洁能柠檬洗洁精）, 3   , 小型企业, 1500.0000, 60, 1
Sun Jan 06 22:14:27 CST 20198, 1130969, , , , , , , , , , 
